store,address,phone,address2,지역 시/군/구
서정타운점,"경기 평택시 정암로 10, 102호",1577-9621 소프트크림 판매점,"경기도 평택시 정암로 10, 102호",평택시
연천옥계점,경기 연천군 군남면 군중로 4,1577-9621 소프트크림 판매점,경기도 연천군 군남면 군중로 4,연천군
여주청심로점,경기 여주시 청심로 196,1577-9621 소프트크림 판매점,경기도 여주시 청심로 196,여주시
성남태평행복점,경기 성남시 수정구 탄리로95번길 23,1577-9621 소프트크림 판매점,경기도 성남시 수정구 탄리로95번길 23,성남시 수정구
오산세마점,"경기 오산시 세마역로 95 세교테라스뷰 상가 113,114호",1577-9621,"경기도 오산시 세마역로 95 세교테라스뷰 상가 113,114호",오산시
김포양촌마을점,"경기 김포시 양촌읍 양곡2로30번길 79, 아파트내상가 101호,102호",1577-9621,"경기도 김포시 양촌읍 양곡2로30번길 79, 아파트내상가 101호,102호",김포시
신곡빌리지점,경기 의정부시 발곡로31번길 27-8,1577-9621 소프트크림 판매점,경기도 의정부시 발곡로31번길 27-8,의정부시
용인초당역점,"경기 용인시 기흥구 동백중앙로 61-19, 107/108호(중동 1043-1)",1577-9621 소프트크림 판매점,"경기도 용인시 기흥구 동백중앙로 61-19, 107/108호(중동 1043-1)",용인시기흥구
안성내리센터점,"경기 안성시 대덕면 내리7길 21, 청룡오피스텔B01호(대덕면 내리715-1)",1577-9621,"경기도 안성시 대덕면 내리7길 21, 청룡오피스텔B01호(대덕면 내리715-1)",안성시
다산한신점,경기 남양주시 미금로56번길 11,1577-9621 소프트크림 판매점,경기도 남양주시 미금로56번길 11,남양주시
이천병원점,경기 이천시 관고재로15번길 11,1577-9621,경기도 이천시 관고재로15번길 11,이천시
마석IC점,경기 남양주시 화도읍 녹촌로 128-17,1577-9621,경기도 남양주시 화도읍 녹촌로 128-17,남양주시
평택내기삼거리점,경기 평택시 포승읍 서동대로 1152,1577-9621,경기도 평택시 포승읍 서동대로 1152,평택시
