,매장 이름,매장 주소,지역 시/군/구,위도,경도
2374,GS25안산장하로점,경기 안산시 상록구 장하로117 (장하동 253-9),안산시상록구,37.3495566,126.8589527
2375,GS25안산정재로점,경기 안산시 상록구 부곡로127 (부곡동 662-5),안산시상록구,37.333239,126.8635068
2376,GS25안산제일점,경기 안산시 단원구 원곡로37(원곡동 747-7),안산시단원구,37.3306159,126.7928111
2377,GS25안산주공점,"경기 안산시 상록구 화랑로523, 107호(성포동 584-2, 성포주공10상가)",안산시상록구,37.3205326,126.8460378
2378,GS25안산주은점,"경기 안산시 단원구 고잔1길69 (고잔2동 539-12, 골든게이트빌1층103호)",안산시단원구,37.3182013,126.8414084
2379,GS25안산중앙역점,경기 안산시 단원구 민속공원로98(고잔동 747),안산시단원구,37.3139149,126.8391051
2380,GS25안산중앙점,"경기 안산시 단원구 예술대학로20, 104호(고잔2동 539, 전원빌딩)",안산시단원구,37.3187209,126.8372407
2381,GS25안산지곡로점,경기 안산시 단원구 지곡로108(선부2동 986-9),안산시단원구,37.3398121,126.7958193
2382,GS25안산천남점,"경기 안산시 상록구 조구나리1길1, 1층 (이동 629-4)",안산시상록구,37.3131227,126.8440761
2383,GS25안산천점,"경기 안산시 상록구 안산천서로187, 1층 (월피동 526-1)",안산시상록구,37.3316702,126.8441534
2384,GS25안산초당로점,"경기 안산시 상록구 장화3안길25-18, 1층 102호 (사2동 1397)",안산시상록구,37.2846136,126.8543068
2385,GS25안산초지점,"경기 안산시 단원구 초지2로59(초지동 734-7, 한솔프라자)",안산시단원구,37.30711429999999,126.8150203
2386,GS25안산타워점,"경기 안산시 단원구 고잔2길41, 117호 (고잔2동 535-1, 신양프라자)",안산시단원구,37.3179793,126.8355737
2387,GS25안산타원점,"경기 안산시 단원구 별망로555, E129호,C110호 (원시동 784-2)",안산시단원구,37.3009816,126.7868772
2388,GS25안산타크라점,"경기 안산시 단원구 성곡로176, 가동 110호 (성곡동 645-5, 타원타크라)",안산시단원구,37.3198801,126.7583015
2389,GS25안산태양점,경기 안산시 상록구 안산대학로131 (일동 607-9),안산시상록구,37.3110069,126.8719604
2390,GS25안산트윈스점,경기 안산시 상록구 본원로5안길1 (본오동 837-4),안산시상록구,37.2919424,126.8710474
2391,GS25안산팔곡점,"경기 안산시 상록구 본이로83, 1층(본오2동 741-5)",안산시상록구,37.294899,126.8759917
2392,GS25안산패션타운점,"경기 안산시 상록구 삼리1길48, 1층 (사동 1541)",안산시상록구,37.3042675,126.8460371
2393,GS25안산팰리스점,"경기 안산시 단원구 번영1로7, D동 1층 (성곡동 710-1, 삼호 안산)",안산시단원구,37.3224164,126.7329225
2394,GS25안산푸르지오점,"경기 안산시 단원구 선부동산73-1 안산메트로타운푸르지오힐스테이트 상가3동 113호,114호,115호",안산시단원구,37.3487704,126.8073632
2395,GS25안산풍림점,"경기 안산시 단원구 화정천서로115, 주상가동 112호 (초지동 731, 호수마을아파트)",안산시단원구,37.3058438,126.8183146
2396,GS25안산프라움점,경기 안산시 단원구 당곡로33(고잔2동 528-1),안산시단원구,37.3202124,126.8331436
2397,GS25안산프라자점,"경기 안산시 상록구 중보로55, 103호 (이동 716-1, 삼성프라자)",안산시상록구,37.3079168,126.8526177
2398,GS25안산학현초교점,"경기 안산시 상록구 이동공원로29, 1층 (이동 710)",안산시상록구,37.3102053,126.8480491
2399,GS25안산한대역점,"경기 안산시 상록구 양지편로34, 104호 (이동 715-9, 조강빌딩)",안산시상록구,37.3091684,126.8510431
2400,GS25안산한대원룸점,"경기 안산시 상록구 성안1길39, 1층 (사동 1579-13)",안산시상록구,37.3021891,126.8404516
2401,GS25안산한양대점,"경기 안산시 상록구 한양대학1길1, 101호 (사3동 1149)",안산시상록구,37.2998995,126.8381565
2402,GS25안산한양점,"경기 안산시 상록구 샘골로139, 104호 (본오2동 880-3, 광림빌딩)",안산시상록구,37.296194,126.8628034
2403,GS25안산항가울점,경기 안산시 상록구 항가울로112 (사동 1360-7),안산시상록구,37.2911842,126.8436611
2404,GS25안산해양점,"경기 안산시 상록구 해양1로34, 상가동 115, 116호 (사동 1510)",안산시상록구,37.2957929,126.8180929
2405,GS25안산해피점,경기 안산시 단원구 다리간로14 (고잔동 682-6),안산시단원구,37.3147574,126.8233228
2406,GS25안산현대점,"경기 안산시 상록구 감골1로37, 중심상가 104,105호 (사2동 1345-2, 현대)",안산시상록구,37.2889599,126.8502734
2407,GS25안산호수점,"경기 안산시 단원구 광덕1로80, 105호 (초지동 731, 호수마을APT분산상가)",안산시단원구,37.3058438,126.8183146
2408,GS25안산화랑점,경기 안산시 단원구 화랑로398(고잔2동 527-1),안산시단원구,37.3207225,126.832056
2409,GS25안산화정천점,"경기 안산시 단원구 화정천동로444, 103호 (와동 806)",안산시단원구,37.3438567,126.818762
2410,GS25안산황금점,"경기 안산시 단원구 황금3길18, 102호(고잔1동 628)",안산시단원구,37.3331975,126.8302165
2411,GS25안성IC점,경기 안성시 공도읍 서동대로4032 (승두리 598-23),안성시,36.997452,127.1538805
2412,GS25안성개정점,경기 안성시 미양면 미양로129 (개정리 350-7),안성시,36.9639194,127.1924982
2413,GS25안성고수점,"경기 안성시 고수2로18, 상가동 105,106,107호 (당왕동 535)",안성시,37.0148977,127.2598306
2414,GS25안성공도점,경기 안성시 공도읍 공도2로8 (만정리 417-170),안성시,36.9997797,127.1691884
2415,GS25안성그대가점,"경기 안성시 공도읍 마정강변길45, GS25 안성그대가점 (마정리 45-59)",안성시,36.9987214,127.1717611
2416,GS25안성낙원점,경기 안성시 장기로96(낙원동 76-1),안성시,37.00387,127.2731676
2417,GS25안성내혜홀점,경기 안성시 아양로10 (석정동 266-29),안성시,37.0087915,127.2632832
2418,GS25안성노곡점,경기 안성시 양성면 노곡길37-30 (노곡리 451-3),안성시,37.1094304,127.2458983
2419,GS25안성느티나무점,경기 안성시 양성면 만세로581 (동항리 260-4),안성시,37.0630484,127.1841815
2420,GS25안성대덕점,경기 안성시 대덕면 중앙로88 (건지리 429-5),안성시,37.01239630000001,127.2388989
2421,GS25안성롯데캐슬점,"경기 안성시 대덕면 서동대로4723 (신령리 500-20, 중앙센트럴빌딩)",안성시,37.0131518,127.2261463
2422,GS25안성만세로점,경기 안성시 원곡면 만세로1056 (칠곡리 179-7),안성시,37.0508149,127.1605804
2423,GS25안성미소래점,경기 안성시 대덕면 내리1길22 (내리 223-1),안성시,37.0014907,127.2207075
2424,GS25안성미양공단점,"경기 안성시 안성맞춤대로741, 1층 (계동 203-25)",안성시,36.9816525,127.2641099
2425,GS25안성미양산단점,경기 안성시 미양면 안성맞춤대로474-4 (보체리 255-7),안성시,36.9628303,127.2477205
2426,GS25안성봉산메가점,경기 안성시 낙원길182 (봉산동 69),안성시,37.0053257,127.279138
2427,GS25안성북가현점,"경기 안성시 보개면 보개원삼로1163, 1층 (북가현리 558-3)",안성시,37.1008068,127.3100114
2428,GS25안성사랑점,"경기 안성시 공도읍 가족공원길46, 1층 (마정리 45-70)",안성시,37.0146018,127.2074394
2429,GS25안성산하점,경기 안성시 원곡면 삼봉로708 (산하리 169-2),안성시,37.0812669,127.1269152
2430,GS25안성삼죽점,경기 안성시 삼죽면 삼죽로125 (용월리 464-1),안성시,37.0741489,127.3752457
2431,GS25안성서운점,경기 안성시 서운면 서운중앙길19(인리 103-6),안성시,36.94326909999999,127.2590342
2432,GS25안성서원로점,경기 안성시 양성면 덕봉서원로316 (방신리 277-4),안성시,37.0305095,127.179727
2433,GS25안성서희점,"경기 안성시 아양로71, 상가동 101호,102호 (아양동 337-2)",안성시,37.0043197,127.262796
2434,GS25안성성은점,경기 안성시 원곡면 지문로525 (성은리 348-1),안성시,37.073585,127.1570929
2435,GS25안성쌍용점,"경기 안성시 비룡로26, 상가동 117호 (당왕동 536, 쌍용아파트)",안성시,37.0153539,127.2644964
2436,GS25안성양성점,경기 안성시 양성면 양성로63(동항리 182-1),안성시,37.0638206,127.1965928
2437,GS25안성에듀타운점,경기 안성시 금산2길11 (금산동 41-3),안성시,37.0121074,127.2711306
2438,GS25안성원곡본점,경기 안성시 원곡면 가천중앙1길76(외가천리 193-1),안성시,37.0410787,127.1312279
2439,GS25안성웰빙점,"경기 안성시 대덕면 대학6길7, 1층 (내리 681-7)",안성시,37.002349,127.2239357
2440,GS25안성유안점,"경기 안성시 대덕면 안성맞춤대로1654, 상가동 105,106호 (진현리 555)",안성시,37.058784,127.2574132
2441,GS25안성의료원점,"경기 안성시 남파로89, 4동 102호 (당왕동 470)",안성시,37.0165206,127.2601036
2442,GS25안성제일점,경기 안성시 장기로61 (인지동 384-4),안성시,37.004501,127.2695257
