,매장 이름,매장 주소,지역구,위도,경도
586,GS25구의행복점,"서울 광진구 광나루로532, 1층 1호 (구의1동 230-19, 우석빌딩)",광진구,37.5446635,127.0884915
587,GS25구일우성점,"서울 구로구 구일로2길60, 201동 125호 /126호/127호/128호/129호 (구로동 1259, 구일우성아파트)",구로구,37.4901992,126.8768791
588,GS25구파발클라스점,"서울 은평구 진관2로15-46, 103호 (진관동 70, 메트로프라자)",은평구,37.6386256,126.9190787
589,GS25국민대점,"서울 성북구 정릉로10길22, 1층(정릉3동 654-34)",성북구,37.6077082,127.0003168
590,GS25국민사랑점,서울 성북구 정릉로9길40(정릉3동 852-11),성북구,37.6103973,126.9992048
591,GS25국일관점,"서울 종로구 수표로96, 1~2호(관수동 20, 국일관드림팰리스빌딩)",종로구,37.5697291,126.9897183
592,GS25군자능동점,서울 광진구 능동로275 (군자동 1-11),광진구,37.5545075,127.0777068
593,GS25군자동일로점,"서울 광진구 동일로52길3, 1층 (군자동 117-35)",광진구,37.5547681,127.0716429
594,GS25군자본점,"서울 광진구 동일로34길17, 1층 (군자동 351-6)",광진구,37.549923,127.0695584
595,GS25군자역,"서울 광진구 능동로317, 1층 (중곡동 648-15)",광진구,37.5579877,127.0797137
596,GS25군자원룸점,"서울 광진구 군자로10길26, 1층 (군자동 370)",광진구,37.5489132,127.0721161
597,GS25군자중앙점,서울 광진구 능동로35길41(군자동 471-1),광진구,37.5572723,127.0767197
598,GS25군자행복점,"서울 광진구 천호대로573, 1층(중곡2동 341-7)",광진구,37.5565227,127.0818199
599,GS25군자행운점,서울 광진구 군자로141(군자동 48-24),광진구,37.55427400000001,127.0748123
600,GS25궁동상지점,"서울 구로구 부일로15길29, 1층 (궁동 208-16, 비치빌딩)",구로구,37.4941118,126.8330387
601,GS25궁동연세점,서울 구로구 부일로19길16 (궁동 197-25),구로구,37.4940808,126.8366578
602,GS25궁동우신점,"서울 구로구 오리로1265, 상가동 1층110호, 111호 (궁동 213-21, 우신빌라)",구로구,37.4940852,126.8304381
603,GS25궁동중앙점,"서울 구로구 부일로11길85, 1층 (궁동 169-2)",구로구,37.4967351,126.8299818
604,GS25그라시움샘터점,"서울 강동구 고덕동217 고덕그라시움 3상가 107,108호 일부",강동구,37.5579966,127.1626204
605,GS25그랑서울본점,"서울 종로구 종로33, 102호 (청진동 70, 그랑서울)",종로구,37.5706922,126.9815134
606,GS25그랜드신협점,서울 강남구 테헤란로521 (삼성동 159-8),강남구,37.5091322,127.0608511
607,GS25금천가온점,서울 금천구 독산로35길13 (시흥동 848),금천구,37.4579165,126.9045029
608,GS25금천구청점,"서울 금천구 시흥대로73길11, 상가동 1층 5,6,7호 (시흥동 109-1)",금천구,37.456119,126.8983126
609,GS25금천나래점,"서울 금천구 독산로41길69, 1층 (시흥동 854)",금천구,37.4578215,126.902333
610,GS25금천능선점,"서울 금천구 독산로159, 1층 (시흥동 863-51, 한성빌딩)",금천구,37.46156089999999,126.9043751
611,GS25금천다온점,"서울 금천구 독산로6가길18, 1층 (시흥동 923)",금천구,37.4488257,126.905951
612,GS25금천독산로점,"서울 금천구 독산로24길15, 1층 (시흥4동 818-6)",금천구,37.4551973,126.9067635
613,GS25금천르네상스점,"서울 금천구 시흥대로152길11-43, 208동 1호(독산3동 953, 삼부르네상스)",금천구,37.4784551,126.9005501
614,GS25금천문일점,"서울 금천구 시흥대로51길23, 1층 104호 (시흥동 991-47)",금천구,37.45080919999999,126.9001604
615,GS25금천벽산타운점,"서울 금천구 금하로793, 404호B상가동 (시흥동 1010, 벽산아파트)",금천구,37.451862,126.918954
616,GS25금천사랑점,"서울 금천구 범안로12길15, 상가 105동 101호 (독산1동 1006-132, 삼환아파트)",금천구,37.46578969999999,126.8921275
617,GS25금천삼익점,서울 금천구 독산로50다길2 (시흥4동 796),금천구,37.46203680000001,126.9102359
618,GS25금천스타즈점,"서울 금천구 시흥대로315, 1층 호텔부대시설 (독산동 441-6, 스타즈호텔)",금천구,37.4506854,126.9012586
619,GS25금천영림점,"서울 금천구 시흥대로26길37, 1층 1호 (시흥동 953-9, 영림팰리스)",금천구,37.44192779999999,126.9058096
620,GS25금천왕창점,서울 금천구 독산로106길19 (독산3동 878-41),금천구,37.4780029,126.9049254
621,GS25금천우림점,"서울 금천구 가산디지털1로168, 외4필지 지상1층104(가산동 371-28)",금천구,37.4798346,126.8824997
622,GS25금천은하수점,"서울 금천구 시흥대로90길16, 1층 (독산동 1065-50)",금천구,37.4611707,126.899136
623,GS25금천은행점,서울 금천구 독산로42 (시흥동 908-24),금천구,37.4509834,126.9061162
624,GS25금천제일점,서울 금천구 가산로3길54 (가산동 235-34),금천구,37.4723481,126.8925722
625,GS25금천주원점,"서울 금천구 시흥대로123길47, 101동 102호,103호 (독산동 295-6)",금천구,37.4712421,126.8955131
626,GS25금천중앙점,"서울 금천구 시흥대로406, 13호 (독산동 286-8)",금천구,37.4695765,126.8984543
627,GS25금천초교점,서울 금천구 독산로22가길18 (시흥동 204-1),금천구,37.45344499999999,126.9108895
628,GS25금천타운점,서울 금천구 가산디지털2로169-31(가산동 494-4),금천구,37.4819234,126.8762454
629,GS25금천탑골점,서울 금천구 금하로29길15 (시흥동 263-11),금천구,37.4507428,126.9124556
630,GS25금천태양점,서울 금천구 시흥대로141길47(독산1동 144-49),금천구,37.4749053,126.8974852
631,GS25금천패션점,"서울 금천구 디지털로9길33, 101호(가산동 60-21, 아이티타워)",금천구,37.4789143,126.8860895
632,GS25금천하늘정원점,"서울 금천구 시흥대로39길48-16, 1층 (시흥동 492-15)",금천구,37.4472172,126.9009826
633,GS25금천한빛점,서울 금천구 독산로40길45(시흥4동 799-36),금천구,37.4609138,126.9068905
634,GS25금천해가든점,"서울 금천구 벚꽃로6길3, 101동 지1층 비04호 (독산동 1143, 이랜드해가든아파트)",금천구,37.4608384,126.8930743
635,GS25금천햇빛점,서울 금천구 시흥대로80길17 (독산동 1075-23),금천구,37.4590588,126.9006081
636,GS25금호극동점,"서울 성동구 난계로67, 상가동 104호,105호 (왕십리2동 1058, 극동미라주아파트)",성동구,37.5583372,127.0233961
637,GS25금호로자이점,"서울 성동구 금호로127, 상가동 B3 - 2호 (금호동2가 1215)",성동구,37.5528666,127.0223753
638,GS25금호베스트빌점,서울 성동구 난계로114-31 (하왕십리동 1052),성동구,37.5613016,127.0257932
639,GS25금호벽산점,"서울 성동구 금호로102 (금호동1가 633, 벽산아파트상가동502-2호)",성동구,37.5519071,127.0271876
640,GS25금호사거리점,"서울 성동구 독서당로335, 2층 (금호동1가 1558, 서희빌딩)",성동구,37.5481823,127.0263227
641,GS25금호역점,"서울 성동구 매봉길50, 상가동 B201호 (옥수동 528, 이편한세상옥수파크힐스)",성동구,37.5462602,127.0112278
642,GS25금호예향점,서울 성동구 독서당로265 (금호동4가 1028),성동구,37.5468301,127.0188419
643,GS25길동미래점,"서울 강동구 양재대로110길8, 1층 (길동 432)",강동구,37.5354466,127.139763
644,GS25길동베네치아점,"서울 강동구 명일로201, 101호 (길동 143-4, 서한베네치아)",강동구,37.536909,127.145604
645,GS25길동삼익점,"서울 강동구 명일로275, 1층 (길동 48)",강동구,37.543291,127.147576
646,GS25길동오네뜨점,"서울 강동구 양재대로124길32, 102호 (길동 339-1, 동서울오네뜨)",강동구,37.5425714,127.1436395
647,GS25길동우림점,"서울 강동구 양재대로124길70, 1층 (길동 342-8)",강동구,37.5422162,127.1458445
648,GS25길동우성점,서울 강동구 양재대로116길30 (길동 392-5),강동구,37.5381493,127.1420561
649,GS25길동타운점,서울 강동구 양재대로1518 (길동 347-14),강동구,37.5411199,127.1415344
650,GS25길동퍼스트점,"서울 강동구 양재대로113길14, 1층(길동 379-14)",강동구,37.5381215,127.1392276
651,GS25길동하이브점,"서울 강동구 진황도로100, 외1필지 1층 108호(길동 456-2, 길동하이브)",강동구,37.5353382,127.1373813
652,GS25길음뉴타운점,"서울 성북구 삼양로13길45, 111,112호(길음동 1281-6, 길음뉴타운)",성북구,37.61068160000001,127.0196517
653,GS25길음동부점,"서울 성북구 삼양로66, 지하 104호(길음2동 1141, 동부클리닉센타)",성북구,37.608951,127.0232704
654,GS25길음래미안,"서울 성북구 길음로9길50, 상가 112호 (길음동 1286, 길음뉴타운9단지)",성북구,37.6035622,127.0198289
